cg00000029	cg00000165	cg00000289	cg00000292	cg00000321	cg00000363	cg00000622	cg00000714	cg00000734	cg00000769	cg00000924	cg00000948	cg00001245	cg00001349	cg00001446	cg00001582	cg00001583	cg00001687	cg00001747	cg00001854	cg00001874	cg00002033	cg00002116	cg00002236	cg00002406	cg00002426	cg00002464	cg00002490	cg00002593	cg00002597	cg00002660	cg00002719	cg00002769	cg00002808	cg00002810	cg00003091	cg00003173	cg00003202	cg00003298	cg00003305	cg00003513	cg00003578	cg00003784	cg00004055	cg00004072	cg00004082	cg00004192	cg00004207	cg00004257	cg00004421	cg00004429	cg00004533	cg00004608	cg00004818	cg00004883	cg00004939	cg00004996	cg00005010	cg00005040	cg00005072	cg00005083	cg00005297	cg00005306	cg00005543	cg00005847	cg00005849	cg00006032	cg00006081	cg00006198	cg00006243	cg00006884	cg00006948	cg00007036	cg00007064	cg00007076	cg00007215	cg00007221	cg00007226	cg00007239	cg00007269	cg00007300	cg00007324	cg00007326	cg00007420	cg00007466	cg00007644	cg00007898	cg00007981	cg00007987	cg00008004	cg00008036	cg00008188	cg00008345	cg00008387	cg00008446	cg00008488	cg00008493	cg00008544	cg00008629	cg00008647
0.299868686	0.136987716	0.724186951	0.517213139	0.52783822	0.124148577	0.009100768	0.146571571	0.050310673	0.01436079	0.422039381	0.944527076	0.012549528	0.879886454	0.847428854	0.040432449	0.071184759	0.98912299	0.010178799	0.954569887	0.733325661	0.073593512	0.00937158	0.018042139	0.016909466	0.451728212	0.028143606	0.022813722	0.919881359	0.858298679	0.031887096	0.019164	0.919593974	0.940002655	0.096357436	0.045364986	0.022087821	0.007951974	0.017756385	0.164120723	0.950994405	0.517602475	0.020668554	0.07229843	0.034172505	0.120300462	0.940492849	0.096521388	0.134833591	0.818650989	0.907722032	0.939807313	0.673844606	0.051634606	0.991072476	0.028149386	0.559166861	0.020867772	0.082059033	0.832903855	0.980244849	0.137392766	0.008923546	0.01270904	0.666871669	0.836341786	0.040046724	0.209063514	0.872442917	0.069287932	0.029926023	0.010793271	0.988219768	0.922555694	0.529072019	0.453420804	0.45985744	0.036380692	0.942937189	0.026734751	0.018662332	0.986883771	0.928264211	0.292822957	0.92844859	0.093978503	0.015086935	0.019763565	0.334361374	0.038149168	0.129255333	0.031560388	0.941620837	0.051677477	0.344263307	0.025493828	0.93336695	0.914359658	0.54465619	0.021705456
0.542265964	0.118447147	0.788944528	0.555164141	0.434911713	0.229687866	0.008990772	0.134719984	0.068261819	0.027462841	0.441745473	0.928256231	0.012981885	0.833953311	0.866753154	0.054259426	0.020319834	0.984768864	0.017842022	0.926840063	0.577481088	0.359004935	0.010496026	0.028834532	0.037277327	0.439154999	0.063246648	0.028248854	0.873466406	0.882852722	0.039347241	0.015138938	0.91250758	0.939112338	0.116771952	0.042801021	0.041028021	0.005768342	0.010421678	0.181517978	0.912922114	0.525191816	0.023867451	0.073573896	0.034544544	0.043198766	0.910018545	0.072184453	0.163285733	0.636768766	0.907633523	0.937342422	0.388619251	0.110821919	0.89603898	0.040446046	0.677251721	0.02568456	0.096357741	0.844162717	0.964006104	0.213716979	0.007421737	0.01420433	0.75786981	0.841745543	0.074612988	0.20011756	0.863234292	0.08583761	0.045791184	0.013434628	0.987627751	0.949398732	0.26883459	0.397109779	0.707219699	0.061377383	0.915894676	0.047714542	0.016778904	0.988259962	0.950142738	0.381818145	0.938432352	0.134116512	0.011778854	0.027067168	0.490099017	0.031488493	0.150463238	0.034049085	0.946612474	0.080640203	0.384140288	0.057269171	0.939717693	0.902999568	0.626228085	0.058020322
0.447686041	0.117689606	0.68642706	0.48360266	0.407785284	0.246212059	0.009086678	0.135059732	0.045754866	0.022968551	0.48645198	0.915310107	0.013100294	0.898255947	0.887276002	0.03998209	0.02815029	0.986255543	0.012186876	0.937284237	0.584942374	0.212930765	0.008173184	0.031646985	0.024484406	0.365833273	0.062666329	0.026523498	0.880956812	0.861905408	0.057463396	0.022770733	0.902814562	0.946583293	0.100701728	0.043627115	0.024955619	0.007296487	0.015552689	0.244296107	0.949534593	0.448697351	0.038074168	0.084791229	0.029708638	0.056148843	0.948691931	0.06472117	0.14630884	0.664807546	0.878730098	0.936066805	0.341470135	0.141523778	0.89497208	0.058587539	0.614603484	0.022786624	0.11325073	0.823766378	0.984284312	0.192065991	0.00873807	0.012373198	0.748256145	0.821247199	0.080752804	0.189380444	0.819654438	0.078117157	0.031954062	0.012619201	0.987449058	0.92698317	0.238205542	0.246523712	0.579220409	0.048279934	0.940363479	0.048924402	0.016030887	0.988197362	0.940235346	0.31686026	0.930721496	0.075683877	0.013841954	0.023981441	0.473712983	0.063079586	0.093492745	0.030291722	0.928429871	0.071407963	0.371799245	0.023450263	0.908725963	0.926582403	0.65680642	0.02396769
0.497992114	0.12869134	0.597966777	0.549824559	0.435814515	0.194024948	0.008936639	0.164586895	0.039582112	0.02088341	0.722980347	0.889739973	0.011136184	0.815421172	0.899802709	0.040537692	0.021631707	0.990099618	0.012944417	0.935639152	0.598838739	0.18162076	0.007838698	0.023230272	0.01870292	0.328445178	0.07089442	0.018575294	0.86706884	0.796465483	0.057078795	0.032665785	0.896759521	0.958964982	0.080413513	0.048779794	0.027106873	0.007712436	0.015689564	0.336842191	0.930549213	0.476647444	0.01623681	0.093058459	0.031116075	0.067426182	0.946888377	0.058992402	0.118408168	0.659615725	0.888093836	0.932557848	0.321524489	0.157313085	0.993156371	0.054841877	0.626942333	0.023215926	0.0699537	0.84374263	0.980366704	0.150954452	0.00888872	0.014370972	0.836267603	0.863850009	0.072873746	0.177895248	0.863904336	0.07002223	0.033395044	0.010185604	0.988980852	0.938119876	0.267932288	0.185715369	0.62726753	0.052407846	0.95659897	0.049374058	0.015159811	0.991935601	0.935941644	0.331571179	0.901373137	0.085423328	0.011707232	0.021978008	0.537412946	0.046184828	0.086674549	0.023892736	0.941913883	0.074687498	0.340395668	0.023188149	0.938041552	0.939622259	0.707268055	0.027566483
0.232667613	0.121279299	0.787696486	0.608457984	0.409632477	0.169443493	0.008955046	0.172744143	0.071637104	0.019612024	0.442469986	0.925814019	0.015241716	0.861836529	0.841573081	0.047701627	0.034975506	0.986435705	0.010865081	0.946678642	0.775569845	0.045824651	0.012532738	0.036292	0.034594988	0.45689533	0.044511448	0.035017585	0.923018105	0.855666248	0.055692468	0.013261975	0.928093934	0.946928388	0.09284209	0.046934691	0.039601449	0.00613386	0.013584323	0.206556644	0.931067147	0.513256531	0.028785515	0.114876248	0.056582895	0.063610151	0.960071161	0.086575726	0.16659233	0.803532052	0.941922778	0.948264584	0.614369105	0.103588563	0.985092603	0.076842076	0.616337286	0.027850774	0.096646625	0.870789355	0.985224025	0.141432286	0.007020266	0.016313083	0.672903948	0.803721799	0.066456303	0.173607041	0.904057895	0.076374861	0.051164312	0.011087649	0.986114373	0.940176514	0.412632159	0.241876616	0.714164051	0.074612867	0.968994236	0.059785472	0.02546113	0.987413002	0.929869863	0.4046461	0.927933997	0.099130706	0.011730444	0.027674466	0.445399029	0.035283892	0.137303791	0.042743244	0.947236787	0.074855169	0.326957502	0.02976497	0.951566784	0.940222208	0.579841868	0.015027436
0.482060598	0.201103176	0.691806771	0.669599508	0.368536996	0.31732623	0.009035883	0.163869161	0.04526572	0.027409339	0.489096076	0.926688095	0.009087464	0.712941219	0.930568385	0.044430479	0.053836494	0.986764958	0.058326621	0.834294928	0.702306104	0.562792634	0.008202951	0.032833839	0.021183829	0.622629617	0.056258443	0.021261629	0.881349233	0.88384858	0.089254317	0.027403674	0.913816768	0.949816443	0.142666426	0.030250326	0.025935534	0.007016297	0.025412533	0.196036566	0.916545396	0.511009501	0.036459539	0.094310749	0.035517094	0.064108748	0.915939468	0.066760778	0.141483684	0.56340073	0.89237413	0.955374687	0.55333606	0.118258213	0.979787778	0.065131661	0.772680569	0.022582331	0.093410317	0.855106873	0.974473118	0.226831401	0.007960246	0.016873214	0.551833586	0.766709086	0.101945851	0.294299198	0.827881483	0.095085549	0.0415975	0.032285885	0.980017953	0.947954123	0.27206737	0.248518031	0.714474759	0.065126478	0.931847182	0.092380164	0.016060913	0.991615903	0.941374069	0.449578003	0.889101202	0.139835761	0.011846622	0.021153298	0.610553531	0.039052044	0.14454048	0.02833672	0.947375359	0.073613053	0.343241532	0.048400448	0.947788595	0.903682113	0.511467339	0.13840736
0.471472954	0.148246126	0.747593391	0.540604959	0.488939698	0.169418632	0.010560829	0.159402107	0.050898572	0.020807797	0.472667733	0.931410172	0.012543945	0.833082326	0.919890951	0.039924738	0.048414076	0.986944535	0.014929994	0.905543489	0.600081936	0.308157368	0.008950749	0.0415423	0.020267225	0.35034617	0.055731789	0.02311679	0.91281403	0.881230769	0.041685816	0.018850969	0.935909023	0.937397374	0.114588337	0.043250917	0.034800817	0.008749774	0.017987197	0.182164459	0.905264888	0.486402909	0.025423665	0.086867054	0.031814832	0.075103272	0.948001065	0.089077929	0.148372886	0.77693582	0.929131954	0.94277676	0.36460696	0.117205404	0.984226684	0.067862457	0.615045782	0.02579964	0.086738871	0.838057263	0.982329591	0.189244174	0.00927337	0.016138284	0.751542399	0.867748872	0.09552007	0.206200509	0.891295497	0.077396555	0.050687785	0.012486726	0.985015704	0.931441663	0.269599487	0.473492739	0.610252608	0.055943486	0.931810898	0.056786064	0.019781409	0.988279056	0.955179224	0.278113968	0.93650664	0.108245998	0.015266859	0.023125801	0.480675076	0.051585991	0.128407684	0.035153698	0.950280465	0.077631784	0.396865351	0.053301385	0.929603325	0.908407228	0.637656151	0.048307361
0.473498484	0.111533005	0.782256278	0.55749513	0.473749276	0.18372174	0.010682715	0.129776005	0.040642198	0.021688184	0.508800104	0.934318544	0.011247974	0.878240482	0.844876345	0.03406689	0.023037109	0.988494275	0.01507079	0.879872928	0.708796241	0.42054817	0.008927646	0.030812664	0.028254167	0.627685948	0.042463217	0.024571666	0.918226373	0.896863075	0.057494606	0.020431384	0.890749724	0.943903577	0.108001843	0.046125069	0.037306183	0.008758307	0.01937174	0.386095422	0.922451016	0.486832528	0.023491106	0.079744265	0.035622959	0.079120355	0.936189555	0.061649753	0.174714076	0.585502674	0.899254151	0.933452142	0.53941738	0.125782046	0.992792166	0.068924036	0.797196285	0.028639022	0.059071681	0.893914511	0.938972054	0.180283329	0.008875557	0.01952475	0.72639547	0.819795179	0.088142057	0.237411731	0.868546672	0.078474866	0.031387525	0.010384638	0.987053689	0.933337212	0.370829288	0.245157742	0.62836281	0.061483804	0.938634186	0.068528132	0.019337387	0.989308274	0.943132038	0.383259876	0.94911847	0.108831079	0.014701577	0.021062053	0.700984611	0.06528844	0.12222974	0.038468195	0.945825198	0.080705833	0.381279034	0.039394043	0.91939261	0.929752903	0.560640604	0.134183191
0.44551397	0.107323356	0.853486098	0.494727386	0.433403018	0.211581245	0.007552162	0.18110612	0.055186721	0.019707588	0.424204143	0.92638414	0.010830779	0.861609607	0.853491855	0.028474762	0.037960506	0.986181677	0.030195732	0.921980729	0.571554572	0.378906182	0.008937371	0.024106278	0.015724105	0.442084065	0.064996355	0.017451425	0.87358711	0.916566941	0.041320622	0.016310846	0.919690555	0.959168034	0.118135046	0.090350081	0.027489132	0.006791709	0.023388167	0.163285036	0.916183173	0.466320652	0.014228136	0.06923372	0.019616273	0.043330314	0.94348922	0.069012902	0.166182003	0.717133418	0.909911129	0.953350732	0.4603313	0.075265313	0.988199034	0.037644833	0.64670372	0.021291924	0.063563989	0.855647112	0.97615081	0.234428194	0.007790064	0.015624253	0.626905042	0.828069777	0.039448751	0.214429392	0.893162697	0.067991012	0.028629684	0.013267945	0.98813674	0.939762325	0.253649559	0.208040966	0.563127403	0.049344957	0.94867775	0.04921198	0.014444762	0.98863292	0.945308258	0.301843756	0.926939045	0.107243302	0.011944219	0.018027016	0.57549725	0.046231113	0.130338899	0.023254696	0.952594644	0.061440473	0.345051249	0.027372723	0.9450577	0.903647392	0.593373768	0.052477322
0.474078919	0.107205043	0.811685789	0.505027709	0.528831613	0.194996731	0.007860645	0.147531689	0.072078698	0.018488777	0.445580684	0.920224647	0.011801949	0.813727609	0.843389337	0.052774298	0.030733262	0.982383037	0.013605996	0.939391165	0.556388909	0.170955365	0.008327671	0.037423349	0.025202319	0.427171625	0.06356087	0.023868086	0.870923113	0.897198714	0.036438289	0.014318399	0.913493189	0.942120079	0.109748852	0.058627282	0.041267909	0.006905166	0.012524561	0.208083419	0.931030778	0.474383312	0.025900936	0.075531093	0.035825655	0.041854077	0.939355039	0.082780228	0.197679105	0.703434606	0.865447109	0.929072972	0.428598154	0.080324183	0.86873055	0.046599368	0.677476209	0.023606157	0.071867885	0.844772357	0.945335383	0.272080105	0.008471794	0.015999625	0.81742288	0.876605241	0.064711773	0.23185926	0.893189892	0.081573758	0.031435724	0.010735337	0.985309925	0.92398097	0.26915741	0.227801329	0.644759487	0.057022077	0.952754548	0.051885977	0.019989717	0.987247576	0.957872023	0.333946496	0.92865531	0.116458031	0.013231617	0.020185741	0.500281303	0.037592884	0.155110054	0.037844087	0.957376311	0.068030119	0.375305631	0.032161894	0.957793782	0.92038187	0.626249111	0.051686489
