cg00000029	cg00000165	cg00000236	cg00000289	cg00000292	cg00000321	cg00000363	cg00000622	cg00000658	cg00000714	cg00000721	cg00000734	cg00000769	cg00000905	cg00000924	cg00000948	cg00000957	cg00001245	cg00001249	cg00001261	cg00001349	cg00001364	cg00001446	cg00001510	cg00001582	cg00001583	cg00001687	cg00001747	cg00001791	cg00001793	cg00001809	cg00001854	cg00001874	cg00002033	cg00002116	cg00002145	cg00002190	cg00002224	cg00002236	cg00002406	cg00002426	cg00002449	cg00002464	cg00002490	cg00002531	cg00002591	cg00002593	cg00002597	cg00002646	cg00002660	cg00002719	cg00002749	cg00002769	cg00002808	cg00002809	cg00002810	cg00002837	cg00002930	cg00003091	cg00003173	cg00003181	cg00003202	cg00003287	cg00003298	cg00003305	cg00003345	cg00003513	cg00003529	cg00003578	cg00003625	cg00003784	cg00003969	cg00003994	cg00004055	cg00004061	cg00004067	cg00004072	cg00004082	cg00004089	cg00004105	cg00004121	cg00004192	cg00004207	cg00004209	cg00004257	cg00004421	cg00004429	cg00004533	cg00004562	cg00004608	cg00004773	cg00004818	cg00004883	cg00004939	cg00004963	cg00004979	cg00004996	cg00005010	cg00005040	cg00005072
0.367476006	0.130477549	0.910717181	0.776325946	0.715510606	0.287928498	0.104409916	0.011533294	0.839930379	0.231991627	0.947762574	0.047024552	0.02882625	0.062215021	0.476105374	0.923696213	0.907134878	0.01464953	0.833582394	0.494359522	0.642131815	0.88251073	0.889756748	0.453509311	0.035241364	0.02733362	0.985496114	0.014992336	0.946191806	0.935803163	0.721941101	0.956030625	0.614509924	0.093516626	0.012182321	0.748835931	0.879851132	0.304815283	0.050440223	0.022050457	0.451083663	0.891989327	0.050692565	0.031040734	0.929480327	0.880942971	0.884225081	0.851455044	0.919141974	0.041922192	0.020070233	0.936098126	0.905234475	0.944443408	0.977193169	0.110688747	0.398282528	0.062571391	0.039547824	0.0428801	0.610833281	0.010528673	0.250626444	0.017395399	0.328604483	0.71230344	0.94920382	0.906662072	0.271640707	0.086308455	0.041923467	0.829349555	0.041606449	0.07881175	0.434697741	0.945154228	0.049386285	0.055774095	0.871642017	0.372610799	0.526179784	0.908666923	0.082520713	0.851282379	0.128127805	0.795879184	0.892685139	0.93540607	0.82432644	0.446377545	0.941860552	0.090567959	0.987725316	0.065451296	0.616279781	0.934470769	0.546175553	0.027416083	0.083364362	0.83125485
0.402299567	0.105089335	0.924052088	0.803518366	0.700065601	0.470925881	0.117695472	0.012373367	0.879245977	0.251760963	0.944337965	0.057739545	0.024689254	0.079616435	0.494110082	0.915533752	0.88986219	0.015238096	0.798201082	0.426488105	0.685781073	0.903705559	0.877771425	0.353399599	0.060064317	0.025794202	0.986513041	0.017499245	0.939292674	0.897840666	0.72685276	0.953225566	0.655138048	0.169397086	0.010974635	0.748030862	0.859142693	0.180526916	0.056698262	0.024984966	0.394058692	0.863284607	0.059156915	0.029204662	0.91836469	0.88518538	0.875330955	0.867772403	0.904855762	0.050250926	0.023059923	0.954524463	0.926328463	0.94149848	0.967892161	0.091145498	0.289185462	0.069981122	0.041834422	0.043422723	0.552731155	0.008935798	0.252158872	0.019520694	0.189249393	0.666198141	0.942373892	0.889337697	0.304553705	0.132869803	0.022283462	0.815324469	0.037579433	0.109082677	0.368170505	0.955650928	0.033081286	0.055128354	0.873194187	0.336504064	0.372296074	0.940903649	0.108088646	0.827352334	0.138741157	0.805604278	0.863544473	0.943927159	0.820702015	0.520742854	0.940091858	0.080180955	0.987522377	0.093181391	0.693667371	0.962314698	0.537207733	0.025273211	0.141337598	0.829584049
0.34136904	0.185211431	0.921971465	0.837697071	0.736224426	0.34765473	0.146178969	0.013461531	0.821867276	0.267815806	0.944903131	0.07304098	0.032353772	0.089714777	0.47324558	0.949435759	0.907616974	0.015682542	0.895210324	0.454589412	0.737602188	0.903336748	0.89868137	0.427374776	0.053084231	0.037434666	0.987837445	0.013956609	0.949207374	0.920216587	0.712185424	0.953752553	0.699689537	0.117201447	0.012093734	0.778612722	0.862959709	0.316981907	0.039391552	0.023329597	0.414267902	0.898333766	0.063843999	0.028926861	0.926426182	0.915275174	0.896308263	0.898021284	0.923769433	0.035429308	0.01852044	0.955785921	0.9166344	0.959236096	0.972245242	0.094446695	0.422142193	0.053315444	0.042059128	0.040675578	0.585498782	0.008287377	0.295938275	0.019826488	0.330445513	0.756257253	0.952070734	0.866635095	0.25193956	0.091960767	0.031350561	0.83077639	0.088216472	0.115586495	0.468564285	0.958632027	0.030853952	0.04422075	0.932365952	0.474938561	0.421762555	0.930964163	0.121317358	0.839298477	0.144493111	0.851129494	0.912117611	0.929785506	0.850788691	0.570040318	0.937932082	0.080880343	0.990262585	0.091549821	0.683673247	0.952803666	0.661534448	0.026173878	0.13155878	0.849051549
0.481097349	0.164286216	0.906321471	0.813893738	0.750802027	0.337120792	0.236078721	0.01227369	0.827163081	0.189758186	0.947985825	0.068709859	0.026775337	0.101471939	0.474357104	0.916216604	0.920477637	0.014072363	0.798881232	0.472813235	0.71139816	0.919551896	0.871722715	0.404108041	0.0571076	0.049656459	0.987890163	0.13673379	0.954088545	0.900965762	0.656766673	0.844259593	0.68996059	0.49201223	0.010487658	0.770251465	0.842451494	0.331436978	0.043866936	0.024117436	0.570578074	0.846022066	0.077007302	0.023841921	0.929086693	0.877655082	0.879210494	0.910821154	0.906529392	0.046033043	0.023200687	0.961583878	0.866762661	0.936998587	0.961867463	0.15606566	0.35237247	0.05480173	0.044639147	0.047156544	0.667652043	0.008834597	0.259761222	0.027706381	0.307038263	0.73876544	0.947110522	0.772346408	0.418233379	0.396410129	0.024053011	0.849006301	0.085461132	0.095537132	0.399693871	0.93698012	0.031157009	0.125833017	0.907622563	0.476648979	0.490420547	0.942210562	0.103563368	0.822045551	0.107581979	0.767767552	0.892867164	0.929864948	0.81217478	0.648650764	0.939724739	0.083255302	0.990740571	0.103838743	0.748452542	0.969863747	0.614166411	0.026025635	0.079747906	0.857211466
0.36371972	0.144529421	0.925204772	0.792952601	0.673884758	0.454854716	0.150174569	0.013312368	0.855291375	0.252214387	0.952266751	0.076093893	0.02138712	0.06495472	0.520992635	0.939291919	0.881635557	0.018023487	0.813561914	0.445498451	0.681513896	0.902036991	0.894402248	0.423212391	0.049020573	0.019601009	0.98534594	0.016001201	0.939296318	0.930456762	0.749368078	0.955451133	0.687922749	0.246696084	0.012512771	0.772709617	0.873083922	0.214034482	0.055070677	0.029583593	0.385132302	0.895798165	0.060276084	0.036801564	0.944698172	0.903055474	0.852119812	0.874327977	0.930209104	0.047055424	0.0220017	0.931597415	0.919038698	0.951476909	0.960909058	0.092335055	0.364511251	0.072780856	0.052107994	0.042348823	0.637771086	0.011262993	0.260285359	0.020734494	0.389492104	0.707589694	0.940404794	0.890592323	0.330439214	0.205126503	0.037390842	0.850133732	0.049600918	0.101271213	0.401605509	0.96151705	0.049783718	0.067898521	0.8750162	0.417299644	0.489445128	0.946237216	0.12339834	0.76526512	0.130272217	0.810968168	0.887322101	0.934727503	0.807267415	0.589950606	0.936416243	0.088148198	0.985869327	0.054207987	0.650983877	0.968730932	0.612369716	0.024083948	0.131664239	0.836975039
0.318639732	0.110188073	0.894951657	0.68145236	0.653109105	0.433418522	0.120910885	0.012180237	0.876017044	0.233987054	0.949054687	0.056326628	0.025755315	0.042195849	0.528151507	0.924773663	0.904130335	0.019460389	0.82523266	0.427962931	0.631954894	0.882993602	0.887051734	0.341005064	0.042795829	0.021164843	0.985420154	0.015283428	0.922801997	0.888877881	0.722577485	0.957903982	0.533937052	0.23384956	0.011982486	0.689757711	0.852166966	0.248500263	0.040013672	0.023974578	0.478803249	0.873222194	0.04890393	0.022570702	0.922680627	0.873144477	0.845989031	0.844139354	0.898880177	0.036544066	0.023046809	0.944564427	0.91170651	0.93612152	0.96949365	0.09542926	0.361665971	0.05683038	0.03171127	0.036228509	0.461942548	0.009265379	0.259571156	0.018628723	0.274665892	0.706214065	0.944041628	0.81937937	0.31883384	0.127858621	0.019978929	0.843402846	0.028850821	0.083103359	0.5849183	0.964751091	0.030764334	0.089904154	0.862251724	0.412970659	0.530349787	0.91600709	0.114811467	0.816792685	0.106185239	0.774085063	0.878449653	0.91930277	0.823974678	0.47867897	0.94289976	0.062458609	0.986541684	0.062821862	0.554735407	0.948539067	0.571037916	0.025737911	0.072403008	0.793673805
0.299983924	0.100443428	0.866072859	0.648654676	0.699595172	0.357570251	0.09129416	0.009477786	0.868305128	0.225693757	0.92168239	0.041552215	0.034020678	0.048580152	0.374507015	0.928064846	0.888221606	0.01217221	0.8571871	0.277329351	0.646038849	0.908588537	0.888613274	0.357121475	0.028220375	0.020446926	0.983174311	0.013888395	0.920988886	0.75831331	0.739739382	0.936359766	0.638324882	0.103856808	0.008601515	0.794330634	0.866190182	0.244037194	0.021827916	0.024076679	0.355217193	0.924416716	0.06406561	0.023634683	0.933925623	0.943794292	0.873399526	0.712138174	0.905280486	0.041361099	0.027515887	0.868215236	0.943590615	0.941181874	0.961170835	0.077091277	0.33581525	0.054140107	0.037818674	0.03637151	0.537973556	0.01051381	0.172935002	0.016762129	0.186009392	0.696773867	0.952153977	0.87837751	0.21659546	0.083866778	0.015083953	0.910415193	0.039000392	0.069929436	0.336307093	0.967734184	0.04431255	0.055919063	0.872684459	0.479957929	0.417707111	0.919921247	0.080162448	0.835100632	0.084173046	0.806088316	0.875266046	0.926565869	0.836160117	0.510948876	0.896436445	0.067762123	0.986010329	0.035428355	0.576205434	0.953637103	0.551656094	0.025355454	0.092471876	0.863807555
0.327172711	0.108830447	0.889151878	0.673656038	0.658312556	0.420506346	0.106001401	0.019500172	0.843323083	0.215659471	0.91024902	0.056878331	0.048995083	0.058072476	0.466205765	0.897462982	0.889938439	0.018120825	0.858065403	0.421221726	0.624812094	0.869064208	0.891317216	0.390625053	0.060151128	0.033820016	0.974908467	0.027027405	0.915307428	0.87066857	0.704035306	0.931763374	0.633248695	0.083399283	0.01744962	0.721255419	0.827712195	0.165733469	0.044620726	0.028677404	0.329948972	0.906136838	0.058749617	0.045069268	0.910802997	0.890334926	0.849435966	0.804500508	0.895212265	0.042824999	0.030716382	0.926719291	0.91733168	0.932359033	0.920111228	0.098894266	0.344363407	0.067493018	0.042612709	0.088683434	0.473732207	0.017862223	0.212819549	0.028160959	0.252998373	0.694758446	0.894764981	0.842748748	0.227423694	0.063118547	0.037049165	0.835532376	0.046792418	0.086161151	0.430366781	0.947963907	0.049054707	0.091550936	0.878454589	0.487589558	0.37866068	0.901878259	0.112665077	0.765331909	0.123751078	0.769605425	0.876885551	0.926929505	0.811805836	0.553144931	0.904151393	0.091843248	0.976275509	0.066176447	0.587152221	0.865662338	0.473316639	0.031770466	0.09704579	0.761695201
0.547012344	0.180535342	0.949399103	0.812198268	0.801095456	0.428883659	0.335997592	0.011537039	0.858519902	0.260587027	0.946771757	0.067051888	0.022868449	0.094064788	0.467226793	0.920534137	0.91594889	0.011317395	0.769823877	0.559039794	0.784814767	0.929044567	0.891221482	0.454085231	0.050360129	0.04831881	0.988430792	0.140549244	0.885536947	0.914045838	0.680108652	0.818505301	0.722176851	0.55657247	0.009116448	0.779673862	0.855577333	0.316533927	0.040193125	0.022091618	0.615495626	0.833549243	0.085718999	0.026771344	0.92120523	0.909278321	0.923090635	0.911502063	0.927016904	0.043387931	0.023200473	0.951513785	0.9271237	0.928832072	0.965194692	0.217586798	0.453814083	0.049765302	0.053550811	0.036857979	0.793532152	0.007885551	0.220670281	0.045563721	0.250927117	0.725464873	0.91057717	0.810205815	0.517729771	0.525885658	0.027989806	0.863857258	0.10810987	0.087766822	0.557388632	0.958934818	0.034055737	0.079185375	0.907063381	0.480905071	0.546563524	0.929263708	0.10082102	0.816408953	0.123363765	0.609833882	0.895713354	0.946884607	0.866420153	0.732110113	0.937339454	0.080004788	0.987664955	0.079974832	0.749585352	0.971825266	0.759298377	0.025185093	0.109245335	0.84653499
0.588035622	0.149638283	0.938315935	0.714431676	0.920599137	0.245248358	0.243776105	0.012652997	0.867824115	0.280175497	0.93108629	0.063889237	0.018278815	0.083806676	0.504247767	0.881285498	0.929173732	0.015123232	0.795395493	0.394987309	0.703546718	0.907281465	0.909707853	0.302009928	0.054740016	0.124853416	0.983400494	0.13038792	0.885136814	0.912986087	0.707729588	0.882371963	0.829854133	0.502717996	0.011694387	0.740884916	0.825612443	0.227524802	0.056818781	0.027206816	0.6066671	0.735419822	0.085799605	0.035059538	0.931336252	0.905009935	0.955725519	0.753503813	0.915801673	0.047063038	0.044341674	0.849471876	0.898009467	0.937787569	0.942682282	0.265159625	0.45529537	0.075452635	0.053550413	0.055219201	0.823902259	0.01036694	0.202224522	0.062117251	0.487913089	0.737113974	0.885826592	0.904116058	0.503254077	0.426016791	0.031257024	0.853859026	0.072391489	0.086684156	0.345056293	0.964919163	0.041401769	0.053824888	0.926021306	0.425972409	0.586955479	0.94272633	0.088838227	0.820003506	0.130019424	0.743198103	0.891998086	0.95765813	0.805046738	0.709935443	0.931501489	0.10907855	0.987529748	0.072281987	0.94196351	0.967933493	0.62968673	0.025970889	0.113514154	0.859444362
0.355328027	0.127571073	0.876690713	0.683645463	0.694375054	0.35113143	0.119658233	0.01853156	0.812393038	0.201453504	0.926076966	0.066882807	0.053231139	0.067965339	0.437576639	0.911050897	0.928904361	0.018626242	0.874852489	0.537921698	0.672375801	0.857705128	0.858260909	0.463706136	0.05898291	0.043529089	0.97556626	0.024596591	0.93003716	0.819736558	0.629951477	0.924909162	0.614052149	0.085778806	0.016805108	0.697822451	0.789415255	0.233934907	0.046913945	0.023150513	0.271240018	0.838605103	0.055099677	0.042609923	0.867874391	0.850966233	0.866679149	0.810088718	0.902079486	0.045513343	0.027351933	0.910347173	0.877247459	0.925139449	0.946073643	0.0871053	0.455559958	0.057554523	0.073277179	0.074543176	0.499764989	0.014607118	0.230097506	0.023029949	0.276601017	0.634475567	0.931983436	0.833532703	0.290600564	0.101575029	0.045876473	0.812135755	0.100430469	0.095931041	0.492950976	0.94815428	0.043149685	0.124176312	0.852718448	0.448548236	0.461576891	0.915210152	0.096670479	0.751650749	0.141032521	0.775117389	0.845636109	0.926360917	0.827461845	0.633684685	0.880725082	0.117451043	0.978878647	0.066502304	0.750893079	0.909065963	0.580132753	0.033365615	0.081760578	0.769104401
0.305205921	0.226849423	0.917888851	0.748606712	0.689393801	0.346806218	0.16473077	0.013316878	0.902115528	0.242554842	0.957351228	0.064971357	0.023020741	0.071275937	0.516153264	0.943391937	0.892073608	0.016381352	0.880675374	0.3615524	0.649578689	0.893150318	0.910755904	0.375178139	0.050054562	0.021534234	0.983476146	0.015612658	0.942915087	0.912170403	0.758670845	0.963444085	0.675796836	0.027110194	0.013149395	0.788779547	0.883382682	0.220037533	0.072277426	0.02654282	0.457599286	0.905411676	0.066048184	0.033560999	0.939226167	0.916846133	0.888005449	0.821694662	0.909051697	0.050126329	0.024316113	0.934175851	0.872722495	0.947254651	0.971147516	0.096617408	0.44706515	0.076485902	0.043284042	0.037277102	0.580582419	0.00883736	0.222990559	0.014416286	0.391344146	0.764811769	0.932118574	0.825634704	0.302352155	0.062263185	0.035435672	0.861097156	0.038142085	0.10438725	0.465892708	0.961956062	0.047340377	0.044658795	0.937118227	0.484332775	0.491566977	0.942988607	0.131846084	0.821821117	0.161070817	0.812499326	0.895062341	0.952026288	0.826788491	0.515746971	0.935507681	0.094463182	0.988237519	0.098007012	0.556814454	0.940413944	0.55278954	0.025073225	0.098512	0.862971845
0.342841948	0.102167513	0.906048207	0.746873898	0.770106294	0.46162315	0.081232964	0.012340771	0.840443586	0.272752496	0.929662415	0.055515305	0.024376784	0.079842055	0.432912795	0.895847258	0.922229338	0.014016646	0.896496396	0.464567944	0.596785304	0.905977246	0.896872307	0.326463331	0.039174783	0.038532844	0.984631969	0.017729892	0.941438089	0.88490389	0.702420435	0.939388968	0.710067241	0.111848604	0.01191228	0.811813917	0.878675136	0.282827729	0.039481267	0.026266412	0.416720179	0.883229785	0.066367385	0.026579379	0.913983776	0.894818842	0.86812388	0.840027803	0.905573699	0.030644005	0.030917969	0.870625841	0.943185251	0.950056042	0.977576935	0.089852773	0.234208903	0.067916596	0.059176841	0.034198143	0.606544775	0.009685054	0.222229264	0.015393849	0.32204155	0.683963801	0.939735879	0.858837309	0.268482951	0.089922865	0.02764122	0.829057039	0.095024468	0.068442968	0.379947535	0.951551921	0.043835821	0.128123301	0.87642719	0.35233272	0.486173274	0.911642486	0.116702937	0.814402889	0.171949406	0.630799209	0.890609504	0.919671317	0.824564333	0.517123751	0.912422777	0.081237476	0.982071489	0.105830904	0.626838656	0.971026028	0.662607166	0.028405366	0.111931658	0.802634579
0.384611611	0.242426504	0.836874361	0.621087106	0.763465556	0.375270239	0.137947312	0.017257269	0.843686535	0.249168525	0.908869789	0.077670122	0.050823645	0.071503521	0.502888066	0.917685006	0.900060435	0.019777699	0.866584627	0.408226843	0.299016515	0.868806914	0.913684218	0.4286401	0.072043449	0.029893493	0.977634238	0.028758054	0.931615573	0.80174084	0.630886248	0.93503857	0.596767158	0.346749147	0.018602364	0.72998566	0.816920401	0.244934261	0.052477042	0.032642714	0.327462674	0.877303399	0.066283952	0.055724511	0.90041339	0.887478547	0.842226857	0.765898584	0.831264499	0.046070089	0.033813117	0.87592284	0.932478942	0.950421113	0.932564806	0.144672929	0.267887754	0.076919967	0.073304859	0.090907959	0.683112095	0.017446353	0.216277342	0.027629365	0.338455425	0.65965151	0.930561519	0.872733148	0.303659253	0.171836745	0.036990961	0.874549463	0.261415967	0.100189789	0.594232707	0.95307811	0.055127698	0.076188666	0.890206366	0.515953278	0.414416342	0.867622136	0.096583793	0.788826987	0.124496656	0.681812318	0.861305557	0.911506025	0.822483431	0.602815795	0.863640506	0.123060356	0.980440911	0.061676294	0.742680431	0.952991066	0.638138046	0.029690689	0.113754878	0.765706455
0.552234543	0.155343691	0.946431795	0.734785721	0.766147747	0.326084742	0.301875947	0.01445606	0.804208261	0.246362333	0.944693194	0.068470498	0.030592101	0.048985868	0.531064544	0.922589507	0.905654466	0.018812439	0.761030119	0.433369216	0.751506023	0.935312001	0.892560885	0.441473086	0.045690962	0.050749033	0.984839513	0.081151598	0.924926203	0.861914451	0.686689984	0.87703492	0.734264699	0.588686676	0.011352164	0.750486176	0.826499791	0.325975038	0.036952777	0.020962456	0.627834355	0.837553681	0.047780891	0.030408463	0.920163569	0.916509367	0.911778439	0.900763758	0.918132273	0.031417931	0.023544611	0.947300338	0.948793921	0.928597089	0.947391607	0.174617514	0.397865588	0.049317406	0.026381667	0.03426647	0.819993238	0.008884349	0.238933259	0.090996916	0.232060969	0.693661407	0.940786193	0.844818491	0.499941246	0.550343977	0.024717386	0.863149461	0.084471748	0.112445773	0.617136184	0.955329763	0.03501076	0.078160049	0.891897072	0.452838248	0.530308448	0.912564899	0.084310137	0.799150702	0.086168874	0.634002188	0.884937981	0.893718367	0.81547984	0.648247735	0.942914928	0.080578689	0.984383148	0.047370846	0.820425868	0.963703409	0.700744971	0.02773057	0.061211782	0.823921855
0.406927275	0.120015918	0.920383624	0.810072553	0.687908922	0.373221364	0.084748709	0.013321121	0.847907576	0.228099394	0.945509418	0.056660673	0.038449833	0.092417453	0.472291431	0.937779357	0.853381978	0.016193486	0.790285388	0.347945283	0.749671004	0.899165671	0.893732532	0.367058899	0.054400604	0.02900666	0.986424889	0.014578322	0.922888335	0.931214109	0.766190379	0.944482312	0.643143619	0.089686862	0.010465514	0.731968595	0.838464853	0.320603184	0.055374785	0.023998046	0.290192883	0.876630595	0.056520403	0.025691411	0.906071334	0.902402762	0.888692704	0.884150348	0.91898034	0.044364015	0.02281555	0.957386548	0.878578867	0.937657982	0.960274123	0.107208293	0.558736634	0.068774406	0.058841786	0.059336561	0.457534885	0.009083484	0.249709334	0.017994321	0.329664209	0.732431467	0.940400709	0.803642149	0.295032131	0.064475461	0.031029421	0.829024352	0.035691125	0.148784863	0.338273575	0.962845383	0.052340314	0.064644033	0.887658511	0.495416924	0.431391899	0.947850282	0.093896068	0.829233724	0.092013075	0.805359881	0.886023664	0.931966079	0.849794516	0.514461882	0.943071258	0.068821912	0.985721159	0.088403755	0.713219917	0.969706923	0.434346805	0.02435081	0.078177131	0.808073208
