cg04980428	cg00869989	cg00036871	cg00313722	cg10203211	cg02172466	cg25317460	cg06441024	cg17565051	cg08710410	cg10165209	cg00000363	cg06013113	cg00124045	cg17767099	cg14214182	cg01124440	cg20849032	cg10119288	cg14374754	cg03207391	cg12629689	cg01684361	cg00045303	cg18251222	cg14506686	cg21881034	cg27305460	cg23412900	cg27324541	cg17367077
0.229839371	0.9761069	0.484223701	0.799956002	0.644939226	0.977104956	0.097902667	0.832333405	0.722167734	0.727225837	0.905145721	0.342758879	0.967094261	0.909699703	0.774910509	0.407809269	0.018077391	0.876285095	0.941579948	0.185596359	0.643529462	0.959471676	0.911266204	0.01814367	0.102237671	0.878139103	0.032843999	0.663075711	0.020912561	0.601370729	0.927206838
0.21259443	0.978970443	0.494520832	0.767215147	0.644661043	0.984265365	0.073946286	0.861227667	0.702765095	0.717096158	0.91543117	0.2470576	0.957250114	0.886576986	0.747987816	0.390716873	0.017645617	0.899777351	0.943627742	0.180262847	0.675133075	0.931631319	0.94112605	0.018251437	0.11177612	0.864636189	0.033998785	0.715085576	0.020550638	0.609720785	0.901363753
0.184409397	0.977882024	0.473092676	0.780950983	0.73431943	0.978361434	0.065805384	0.843939319	0.590596455	0.751788718	0.919179013	0.238733185	0.959145676	0.805375417	0.758672898	0.393183316	0.018776868	0.895327891	0.947119376	0.15606878	0.651064159	0.925466684	0.896942576	0.01637508	0.097993658	0.869944835	0.035393331	0.676029628	0.022506217	0.623803939	0.93159363
0.190420681	0.978339861	0.475387078	0.76113557	0.613337508	0.984832249	0.052610113	0.833782147	0.582947363	0.711314761	0.921217178	0.237710958	0.962107226	0.853931339	0.736949071	0.369190358	0.020146799	0.915281336	0.945453925	0.077957792	0.646796065	0.938942924	0.966636559	0.016299846	0.091944153	0.86424364	0.031217778	0.689574325	0.022874181	0.583499278	0.966816759
0.207415849	0.978130316	0.484973597	0.788989671	0.65814955	0.981664691	0.064692855	0.853440131	0.69443305	0.729825418	0.935947233	0.198976557	0.963772252	0.912063205	0.742450416	0.401613721	0.017415526	0.923563577	0.944246458	0.153301856	0.639622341	0.951602906	0.939226751	0.017810179	0.118931634	0.835067852	0.027275952	0.700007078	0.019010374	0.622561356	0.940449176
0.200242606	0.976869023	0.536453454	0.778129786	0.661369074	0.978179052	0.072545791	0.855572425	0.678736252	0.727962707	0.915776525	0.326543386	0.962941225	0.8558376	0.750119102	0.388693015	0.019977704	0.905197683	0.928921147	0.14087528	0.665499501	0.940260194	0.967619417	0.01737475	0.096886592	0.843598741	0.029639903	0.749467819	0.019735463	0.578272436	0.932206901
0.200593976	0.976231939	0.462644246	0.766666752	0.68402929	0.976380863	0.057131216	0.818349133	0.600559629	0.761921088	0.932948295	0.249031286	0.957443508	0.815476199	0.781895516	0.372527236	0.019002706	0.877016542	0.937274533	0.175387761	0.683894666	0.92945975	0.914897384	0.018136128	0.089453627	0.854114087	0.031878504	0.567721925	0.022552961	0.589080035	0.914194603
0.191936861	0.972798447	0.517828391	0.750481945	0.605658639	0.979139059	0.071494695	0.815758	0.648879742	0.71744101	0.914442088	0.228658384	0.960396277	0.801136357	0.712304882	0.325751558	0.017132838	0.881299427	0.916457199	0.133676059	0.689262643	0.91859985	0.866426346	0.019664547	0.092140824	0.82620164	0.036605834	0.703934593	0.024753257	0.589322152	0.883759249
0.203493973	0.972502789	0.51652229	0.734292462	0.556114978	0.982302701	0.065476721	0.834782691	0.724815393	0.671529968	0.885505416	0.234911512	0.959858958	0.887231158	0.673295526	0.349279471	0.018050621	0.853499179	0.931370798	0.14038345	0.639009639	0.964964068	0.925247285	0.018808185	0.080754869	0.829074395	0.032177947	0.698398516	0.021179772	0.614075755	0.939324039
0.293530964	0.975569268	0.546075367	0.811921244	0.619614378	0.985172964	0.066077112	0.832947549	0.845714089	0.699402681	0.90063722	0.332067379	0.955341897	0.883394801	0.793753618	0.33163524	0.01970043	0.878109385	0.945723552	0.17132656	0.700130362	0.96620666	0.863477807	0.019295316	0.08502799	0.833797764	0.03403351	0.614237645	0.022197029	0.703517902	0.913183869
