cg04980428	cg00869989	cg00036871	cg00313722	cg10203211	cg02172466	cg25317460	cg06441024	cg17565051	cg08710410	cg10165209	cg00000363	cg06013113	cg00124045	cg17767099	cg14214182	cg01124440	cg20849032	cg10119288	cg14374754	cg03207391	cg12629689	cg01684361	cg00045303	cg18251222	cg14506686	cg21881034	cg27305460	cg23412900	cg27324541	cg17367077
0.110410006	0.983438651	0.438894768	0.754208326	0.811676808	0.951654813	0.157023555	0.873493598	0.315396725	0.830309061	0.892199188	0.124148577	0.978819307	0.977401812	0.732755892	0.485286909	0.016340736	0.961211269	0.956516322	0.145251794	0.814122293	0.93830433	0.945557717	0.01346701	0.050512728	0.815261619	0.016800971	0.867959171	0.016235206	0.619277769	0.926711777
0.154731652	0.988398859	0.556956983	0.72249624	0.621080703	0.944862155	0.135089246	0.84150076	0.671241935	0.665470536	0.841863776	0.229687866	0.979434778	0.841066318	0.671312407	0.359282923	0.017637603	0.898767535	0.934523249	0.126367287	0.564811419	0.863628939	0.805857689	0.013328948	0.050686296	0.837657203	0.017883474	0.468346998	0.012121653	0.663903189	0.89483095
0.170091312	0.988559153	0.496887784	0.715652656	0.707412229	0.953527689	0.19000892	0.834610208	0.559232677	0.750334798	0.852398705	0.246212059	0.979255253	0.852947321	0.660530633	0.310672473	0.021745479	0.93196999	0.902968942	0.129959901	0.550512902	0.89784176	0.86248165	0.013910199	0.048196734	0.862849419	0.013874593	0.577491062	0.016756466	0.59655219	0.897375805
0.170824491	0.987719048	0.538444687	0.730494367	0.710714178	0.964404882	0.170448377	0.879761337	0.542382376	0.798563899	0.805358308	0.194024948	0.97840474	0.948661412	0.66689912	0.301381566	0.018819849	0.939201244	0.918479559	0.183441659	0.637417259	0.886258309	0.899507071	0.010803486	0.038452629	0.875654852	0.013171547	0.685650344	0.015458261	0.655673362	0.915153214
0.127983096	0.987289042	0.382777938	0.670004994	0.663425126	0.951905637	0.144489765	0.839707356	0.484513975	0.801797479	0.901669283	0.169443493	0.979433724	0.973873066	0.53909693	0.413643571	0.01837281	0.958338255	0.949712517	0.135793226	0.715517344	0.926043684	0.96908604	0.015575716	0.063809448	0.853578359	0.019011973	0.791320488	0.014546334	0.66823613	0.910337124
0.307325704	0.985623317	0.630935947	0.721792335	0.511769907	0.957034551	0.156387426	0.900875375	0.887588395	0.682098374	0.862699607	0.31732623	0.9788429	0.959633032	0.575180684	0.224252387	0.018521821	0.933849548	0.93160224	0.119603306	0.757506986	0.947219461	0.935166822	0.011645178	0.035680781	0.90571467	0.014382655	0.568427107	0.015184776	0.710779204	0.845427765
0.188064586	0.986974492	0.551443173	0.712686332	0.740464146	0.946021594	0.159591933	0.826132884	0.595337806	0.749550921	0.909768542	0.169418632	0.977742329	0.967758026	0.678381989	0.337829246	0.022759384	0.944808676	0.946883808	0.166229926	0.543100389	0.859932547	0.848685989	0.012815116	0.059186869	0.846756473	0.019023632	0.595087438	0.017896886	0.657314893	0.886095961
0.260014495	0.988437883	0.489986202	0.624161039	0.527486408	0.962827239	0.206687956	0.862496458	0.863112954	0.756187208	0.855987336	0.18372174	0.980921663	0.977961721	0.568736894	0.297492778	0.019694324	0.933744767	0.906490255	0.134181811	0.710564878	0.959443761	0.846978443	0.012668176	0.070738621	0.830724106	0.020303411	0.550999827	0.016435539	0.532500632	0.884808708
0.18046154	0.986516171	0.549484638	0.715741179	0.654374167	0.901687912	0.090856272	0.843447503	0.666583255	0.751901573	0.912759075	0.211581245	0.977050972	0.904729416	0.631125554	0.298820411	0.016715637	0.919401029	0.937686256	0.119743481	0.558752113	0.928233369	0.868309942	0.01247419	0.053873801	0.857343981	0.017127583	0.427360036	0.019615581	0.637261111	0.843535946
0.157569483	0.987110864	0.522993511	0.75792402	0.618221677	0.945037016	0.098420588	0.852697819	0.667701415	0.685304932	0.880533003	0.194996731	0.978463712	0.860243723	0.715576938	0.411956622	0.017871109	0.887976115	0.933332821	0.108704427	0.567837256	0.869639317	0.816078284	0.013658526	0.056257591	0.840689749	0.024634389	0.584208158	0.015269894	0.598996968	0.909488169
0.181862798	0.98469817	0.500363987	0.685537166	0.670087005	0.95520845	0.097381373	0.846551921	0.633319257	0.790030173	0.911301333	0.183739107	0.98292102	0.801131175	0.644023266	0.331396206	0.01928217	0.924067784	0.956880727	0.124457975	0.63508955	0.837491945	0.892683739	0.013023462	0.0706163	0.857554808	0.018434809	0.523578722	0.016081038	0.600827118	0.807655397
0.158578203	0.986106784	0.492292937	0.6975843	0.67174668	0.9589933	0.144631546	0.810217279	0.557297687	0.705724263	0.91237524	0.189599015	0.981007962	0.855822168	0.655125079	0.344181415	0.020187497	0.947249463	0.926114886	0.148108729	0.631954029	0.850287476	0.866617587	0.011295253	0.062660036	0.843408562	0.017011319	0.670426436	0.015971553	0.579596558	0.872045932
